Review,Score,ThumbsUp,CreatedAt
"tolong donk buat pengembang aplikasi gojeknya, untuk fitur go gamesnya masa ngadain misi buat main 3 game masing-masing main minimal 3 menit buat dapatin kunci peti harta karunnya pas gue udah main lebih dari 3 menitan buat satu game doank tapi sistemnya nggak mendeteksi kalau gue udah main selama 3 menitan. perbaiki donk sistem mini gamenya",5,0,2026-09-06 17:24:59
"saldo saya seketika terpotong dgn catatan ""memperpanjang gojek plus"". saya tidak pernah melakukan hal itu sama sekali. lalu saya baca di syarat & ketentuan yg berlaku, terdapat bbrp penggal kalimat di nomor 3 pada topik pembatalan & pengembalian dana yg menjelaskan bahwa ""TIDAK ADA PENGEMBALIAN UANG ATAS BIAYA GOJEK PLUS YANG ANDA BAYARKAN"" lalu bagaimana baiknya? karena saya tidak melakukan transaksi tsb. kembalikan saldo saya, masalahnya saya lagi hemat uang, shock lah ketika saldo terpotong",1,2,2026-09-03 11:10:17
"Fitur nya mungkin sangat membantu driver, tapi untuk pengguna pelanggan fiturnya sangat kurang apalagi dalam gofood, saya mencoba mesen udah di 2 outlet dri restoran yang sama, penangan nya sama semua. Di buat nunggu sejam lebih, driver ga dapet padahal dri aplikasi akan di carikan driver sampe jam tertentu tapi 30 menit lebih dri waktu yg di tentuin tetep ga dapet. Sekalinya dapet driver langsung hilang. Saya chat CS minta bantuan untuk crosscheck lagi ke restaurant, tida membantu sama sekali.",1,1,2026-09-07 19:09:32
"Halo, mohon maaf ini untuk sistemnya tolong diperbaiki. Karena baru saja saya hendak ke gereja, harganya sangat mahal sekali. Saya biasanya ke gereja yang 3km hanya 10-20 ribu saja. Tapi minggu ini saya pergi ke gereja lain dengan jarak yang tidak jauh berbeda 3km tapi harganya sampai 60 ribu lebih. Di map yang harusnya 3km jadi 11km, jadi mapsnya membuat kami berputar-putar dan itu yang menyebabkan harganya sangat mahal. Tolong ini sangat merugikan konsumen.",3,4,2026-08-30 06:54:11
"Saya pesan gofood, ada opsi murah untuk ongkir pengirinan namun lebih lama. Saya menggunakan opsi itu, tapi justru setelah menunggu 1,5 jam tidak ada yang menerima pengiriman pesanan. Jadinya pesanan saya batal. Saya paham kalau itu termasuk dalam s&k, tapi kesannya tidak adil juga bagi customer. Ibarat harapan palsu, perbaiki sistemnya mungkin bisa di beri waktu 30 menit untuk memastikan apakah pesanan bisa di kirimkan atau tidak. Dari pada sudah menunggu 1,5 jam! mana ga di kasih kompensasi👎",1,3,2026-09-04 19:47:17
"bagus, cuma masi sering banyak bug, pernah tiba tiba ke pesen 2 driver sekaligus, padahal cuma pencet 1× doang, jadi terpaksa harus cancel yang satunya, dan sekarang udah sampe tujuan tapi masi dalam proses, padahal aku udah sampe di tujuan",3,2,2026-09-03 12:46:50
"diminta verifikasi email tp email yg tertera salah(kelebihan angka 0), utk update email saja tdk bisa, sdh via apk.jg tidak bisa, via email jg tdk ngerti cs nya. anehnya konformasi pembelian pulsa bisa dikirim ke email yg benar, aneh bin ajaib, tolong diperbaiki.hanya perbaiki EMAIL NO.HP TETAP.",1,2,2026-09-02 08:53:50
"Pelanggan setia gofood tapi suka jengkel masalah aplikasinya ga jelas. Tolong dong mapnya udah sesuai titik tapi diarahin ke seberang komplek, mana banyak driver yg ga mau buat anterin ke titik sesuai mereka maunya sesuai arahan map padahal beda titik. Benerin dulu itu sistem mapnya jangan sampai salah.",1,5,2026-08-27 12:35:17
"fitur otomatis (pengantaran murah) sangat menghambat ketika ingin memesan gofood, walaupun sudah di ubah, kadang pas kita keluar aplikasi, lali ingin menambahkan pesanan, otomatis di ubah ke (pengantaran murah) dan saat tidak di cek, itu sangat menghambat, karena makanan diantar prosesnya lama, bisa sejam lebih",1,6,2026-08-17 20:07:10
"Sungguh aneh,saya pakai pengiriman yg hemat. drivernya ga mau ngambil,resto nya ga mau bikin klo belum ada driver. sebagai pelanggan tau2 dibatalin dari aplikasi. Nelpon ke resto katanya klo pake yg hemat ga pernah dibikinin dulu karna driver suka pada ga mau. kalau gtu ga usah ada fitur hemat ya. Nunggu udah 90menit. CS nya ga bisa dihubungin. Kudu gimana coba.",3,4,2026-08-27 20:35:09
"untuk cs gofood, saya harap bisa memesan food reguler saja, krna kalau pesan express atau flash driver ga dapet apa2, nunggu direSto lebih lama iya,. kalau perbandingan reguler dan expres ga jauh beda,. tpi uang tambahan ga dibagikan ke driver. masuk semua ke aplikasi,",1,3,2026-09-01 19:13:50
"Aplikasi Tolol,Penipu,Pemeras customer,kita di tawarin berlangganan gojek plus biar dapat potongan ongkir dari ongkir nya yg gak ngotak itu,giliran udh berlangganan tau nya gak bisa di pake di banyak resto,mana mau minta bantuan susah bgt,yg dia kasih cuma opsi pembatalan berlangganan(tanpa refund),untuk masalah/kendala mereka gak mau tau,untuk sekedar menghubungi CS aja sulit nya minta ampun,kita gak bisa ngetik masalah nya,cuma di suruh pilih pesan otomatis yg gak sesuai permasalahan kita",1,25,2026-07-12 23:50:52
"bagus sih sangat membantu di saat di butuhkan. tapi sayangnya aplikasi suka ga bisa di buka. kaya sekarang saya mau pergi, begitu buka aplikasi selalu kembali nutup. niat mau upgrate di play store ternyata TDK termasuk dalam daftar apk yg harus di upgrate. jadi susah dong....",3,4,2026-08-26 07:37:25
"ada bug di fitur gofood kah? ada warung yg rangkuman ratingnya *5 dari 20+ rating. tapi pas ditekan detail ulasan, cuma ada 3 ulasan dengan *1 ; *2 ; dan *3. itu sangat menipu pembeli sih. dan memang pas dibeli layak dikasih *1 itu warungnya.",1,1,2026-09-07 15:42:23
"gamenya dari gojek transport dan gopay transfer bermasalah tidak bisa mendapatlan gopay coin, sudah memunggu selama 4 hari tidak ada kejelasan sama sekali. penanganannya sangat tiidak memuaskan dan tidak ada kriteria untuk game error dari halaman bantuan..",1,2,2026-09-04 19:14:38
"Untuk perjalanan jauh, driver terlalu slow respon dan posisi suka tidak bergerak sama sekali yang terlalu lama. Selalu menunggu lebih dari 10 menit. Saya pesan karena agar cepat sampai tujuan. Telat terus kalau berangkat kerja karena driver yang lambat. Memang ada beberapa driver yang benar, itupun kalau perjalanan dekat, namun lebih banyak yg menyepelekan pelanggan. Tolong diperbaiki",1,12,2026-08-06 05:36:51
"kecewa banget saya. Saya pake gojek udh lama banget. Karena aplikasinya simpel dan murah jadi saya suka. Tapi hari ini, pas pagi hari saya pesen gojek 1 yang dtg malah 2. Untung yang satu mau di cancel baik baik tanpa ribut. Barusan juga udh pesen n nympe rumah. Lah kok tiba tiba ada tulisan driver anda akan sampai dalam 4 menit. Trs saya chat baik² buat cancel dan di iya in. Ini udh ke3 kali saya dpt kek gini. Tolonglah itu gimana. Masa pesen 1 dtg 2. Diperbaiki dong, sy jg ga merasa psen 2 kok",3,0,2026-09-04 13:31:41
saya pakai gojek karena harganya terjangkau untuk mahasiswa tapi akhir-akhir ini dilewatkan rute yang jauh padahal ada rute jalan yang dekat dan ongkirnya lebih murah. saya mau komplain tapi tidak ada opsi. tolong diperbaiki lagi sistemnya.,3,5,2026-08-19 15:43:01
"susah untuk dapat driver, terutama jika menggunakan promo, padahal kami hanya menggunakan fitur yang tersedia. harga aplikasi dan biaya tambahan juga lebih mahal dari aplikasi lainnya. tolong dievaluasi. berhenti berlangganan dengan gojek, KECEWA BERAT!!",1,4,2026-08-23 16:02:47
"Kecewa banget. Saya sudah memesan GoFood dari sekitar jam 9 malam dengan estimasi sampai jam 10, tetapi ternyata restoran tutup dan pesanan tidak jelas penanganannya. Yang lebih mengecewakan, tidak ada opsi cancel yang jelas ketika terjadi masalah seperti ini. Sangat merepotkan, apalagi sudah menunggu lama dalam keadaan lapar. Mohon sistem pembatalan dan penanganan pesanan bermasalah diperbaiki.",2,4,2026-08-16 22:38:49
"Susah banget cari driver buat gofood. Bikin nunggu lama banget, jadi harus cancel pula. Mungkin harus ada yang dievaluasi dari opsi murah di ongkir, karna saya rasa ini bikin driver ga mau ambil orderan. Masalahnya ongkir opsi cepat kemahalan.",1,1,2026-09-08 00:14:47
"Gak bisa copy paste nomor telepon buat dimasukkan ke detail penerima/pengirim Ga ada notif masuk chat nya dr driver, dan gak bisa edit chat pesan cepat nya, sering error",1,3,2026-09-07 10:15:19
"saya gak suka ya dengan cara gocar yang seolah ""memaksa"" penumpang pesan Gocar prioritas. ini bukan pertama kali, seringkali jika pesan Gocar reguler tiba-tiba fitur prioritas di ceklis bersamaan meskipun penumpang tidak memilihnya. secara otomatis kami akan batalkan (jika sadar) jika tidak terjadilah pesanan dipilihkan dengan harga prioritas.",3,12,2026-07-06 17:27:39
"Sangat mengecewakan! Saya sudah menunggu lama sekali berharap ada driver yang menerima pesanan, tapi tidak ada satu pun. Yang lebih parah, saya juga harus menunggu sangat lama hanya untuk bisa membatalkan pesanan. Waktu saya benar-benar terbuang sia-sia. Kejadian ini bahkan sudah terjadi dua kali. Kalau memang tidak ada driver yang tersedia, kenapa pelanggan harus terus disuruh menunggu tanpa kepastian? Sangat merugikan dan benar-benar membuat frustrasi. Tolong perbaiki sistemnya.",1,13,2026-07-12 18:06:00
"Lawak aplikasi ga bisa dibuka setelah login, force close terus terusan. Udah 2 kali install ulang tetep aja Edit: Sudah hapus data layanan google play, hapus data maps, dan restart hp baru bisa min, ini solusinya rupanya",4,5,2026-08-17 12:31:55
"Saran aja, untuk GOFOOD adain FITUR hubungin kontak penjual dulu sebelum order, biar saya sebagai pembeli / customer dapat memastikan dulu apakah restonya BUKA atau TUTUP. Beberapa kali pengalaman di apk nya BUKA terus udah order, udah dapat driver, eh ternyata restonya TUTUP. Kalo statusnya ""MAKANAN LAGI DISIAPIN"" itu kan udah ga bisa CANCEL. Bisa sih tapi merepotkan dan butuh waktu cukup lama. KEBURU KELAPERAN. Kasian juga kan driver nya udah jalan menuju resto.",2,15,2026-06-29 13:34:19
"kak,knapa coin saya tidak bisa bertambah/tidk bisa di refras saldonya,setelah dapat transferan ya, di aplikasi ada pemberitahuan tidak ada jaringan,padahal jaringan data/wifi bagus sinyalnya.? sebelum nya tidak ad masalah,dengan aplikasinya.",5,11,2026-08-01 08:35:06
"saya kecewa setiap weekend atau libur tgl merah saya selalu kesulitan pesan gojek di waktu subuh sekalinya dapat tapi map nya ga jalan2, atau sekalinya jalan menjauh tapi seringnya memang ga ada sama sekali. terutama di wilayah Cimanggis bojonggede",5,3,2026-08-25 04:55:32
"pesen makan jam 10 malam, keseringan gadapet driver. masalahnya kalau sudah terlanjur mesen, terus gadapet driver disuruh nunggu sampai 2 jam baru bisa dibatalkan. udh laper, disuruh nunggu lama pula, dan gada pilihan, harus nunggu.",1,3,2026-08-26 12:29:22
ketika masuk gofood selalu wifi jelek atau tidak ada jaringan pdhal sinyal bagus . ada pengantaran double membuat menjadi lama . driver tak pernah kirim pesan jika pesan antaran double.,2,3,2026-08-24 21:12:41
"Maaf cuma kasih 1 bintang, soalnya sekarang udah gak ada pilihan gotik lagi, padahal itu sangat membantu, ibarat nya sekarang kayak penurunan kualitas dari gojek, dan saat top up gopay dari dana, entah kenapa ada pemotongan saldo masuk tanpa pemberitahuan dari gojek, itu jelas merugikan konsumen, walau gak seberapa tapi sangat berpengaruh, padahal konsumen sudah dikenakan biaya kirim di awal saat mengirim (app dana), sekali lagi saya kecewa",1,3,2026-09-02 05:46:00
"saya ga bisa masuk, karna saya ganti email , kode otp nya di kirim via Wa sama email klo nomer masih tetep susah nya minta ampun udah ngisi form di pusat bantuan bantuan tetep aja ga ada solusi masih belum bisa masuk.",1,2,2026-09-03 14:31:30
"tolong dong di perbaiki bagi para driver yang belum siap Nerima orderan matiin apk nya, saya sebagai customer sangat kecewa sudah dapat driver tidak jalan2 tidak ada ngabarin. saya pernah sampai telat 1 jam kerja yaampun jangan buat resah kita dong. dlu saya sering pakai gojek ini. dan saya juga pernh dapat Driver minta bayar nya di luar apk jadi dia matiin apk nyaa",4,1,2026-09-08 07:15:28
"Pls lah, chat ke resto kalau bisa available 2 arah, bukan cuman restonya doang yang bisa ngechat kalau ada masalah. Bayangin ya, estimasi SAMPAI 17.10, tapi bahkan sampai sekarang 17.35 resto BELUM SELESAI MEMBUAT MAKANAN. Gua cuman bisa makai layanan chat CS jawaban otomatis. Pilihannya cuman 2, mau batalin pesanan/lanjut TAPI GATAU MAU NUNGGU SAMPAI KAPAN.",1,5,2026-08-23 17:37:05
"aplikasi tidak lengkap pelayanan, mau di batalkan pesanan lewat aplikasi aja tidak bisa? kek gini lama lama pada males pesan lewat gofood, gara gara salah pencet menu mau ganti aja ga bisa , mana yang kepencet menu mahal lagi ... gofood Masalah pelayanan aplikasinya JELEK",1,1,2026-09-06 18:28:42
"sangat sangat menyebalkan, beberapa kali sya order makanan lewat gojek selalu ujung""nya batal, karna drivernya gak dapet lah, karna ini lah itu lah, kemarin udah sempat sy uninstal aplikasinya, terus tadi pagi sy coba instal lagi karna sy pikir kali ini tidak terulang lagi kejadian kemarin"", dan akhirnya terulang lagi dong, udah nunggunya lama, ujung""nya batal, 😡",1,1,2026-09-07 12:01:43
"sumpah ini ngeselin banget. emang udah jarang sih pake apk ini karena drivernya semaunya sendiri dan susah banget dapet,tapi kali ini kecewa banget. aku pesen gofood karena di online restonya cuma di apk ini aja, eh malah gak ada driver yang pick up sampai 1 jam lebih, saya mau cancel kasihan restonya yang sudah nyiapin, eh ujung²nya dicancel sama apknya. kalau emang udah gak ada driver tutup ajalah apknya platform lain juga banyak kok.",1,3,2026-09-01 21:19:40
